regime,FVG Fill,Momentum,ORB Breakout,PDHL Breakout,VWAP Reversion
Expansion,-4.571477979797979,-25.276,0.0017673667205168248,-4.320917491749174,-2.992401906274821
Healthy Expansion,2.7867929036929757,11.721428571428572,3.189158762886598,5.831707865168539,-3.41236475409836
Stress Rising,8.174302547770703,-100.0,-4.5639491525423725,-5.678738916256158,-0.39511058263971444
Vol Spike,-17.37632876712329,12.1465,12.65189928057554,4.819158878504673,-2.862619718309859
