group,trades,win_rate,ko_rate,total_pnl,avg_pnl,roi_pct,avg_days,profit_factor,max_consec_wins,max_consec_losses,best_trade,worst_trade
Healthy Expansion,3233,48.46891432106403,7.114135477884317,31527.640000000003,9.751821837302815,1.9503643674605633,1.9560779461800186,1.105283046591152,9,11,2155.92,-500.0
Stress Rising,1463,46.13807245386193,3.417634996582365,12588.340000000004,8.604470266575532,1.7208940533151065,1.5105946684894054,1.1516845653555687,9,10,1426.55,-500.0
Expansion,8591,44.744500058200444,4.306832731928763,-71499.83,-8.322643464090326,-1.6645286928180656,1.6269351647072519,0.8880289123503592,14,15,1788.97,-500.0
Vol Spike,218,41.284403669724774,2.293577981651376,-3705.0099999999993,-16.995458715596328,-3.3990917431192655,1.426605504587156,0.6931709393498718,7,13,979.73,-500.0
