ticker,category,date,direction,attempt_number,entry_time,exit_time,entry_price,exit_price,orb_high,orb_low,exit_type,pnl_pct,entry_vol_ratio,breakout_beyond_pct
XLK,Sector ETF,2025-12-04,long,1,10:40:00,15:55:00,145.41070556640625,145.52999877929688,145.27499389648438,144.63999938964844,close,0.08203881029663672,1.0,0.093
XLK,Sector ETF,2025-12-05,long,1,10:05:00,11:30:00,146.9199981689453,146.0800018310547,146.6699981689453,146.09010314941406,stop,-0.5717372368359968,1.05,0.17
XLK,Sector ETF,2025-12-05,long,2,13:30:00,15:55:00,146.77499389648438,146.5800018310547,146.6699981689453,146.09010314941406,close,-0.13285101246007142,1.0,0.072
XLK,Sector ETF,2025-12-08,short,1,11:00:00,15:55:00,147.1699981689453,147.66000366210938,148.3800048828125,147.36000061035156,close,-0.3329520277642157,1.0,0.129
XLK,Sector ETF,2025-12-09,long,1,10:00:00,15:55:00,147.64999389648438,148.0399932861328,147.47000122070312,146.9600067138672,close,0.26413776211996415,1.0,0.122
XLK,Sector ETF,2025-12-10,short,1,10:40:00,12:50:00,147.08999633789062,147.8343963623047,147.69000244140625,147.24009704589844,stop,-0.5060847392395399,0.57,0.102
XLK,Sector ETF,2025-12-10,long,2,12:55:00,15:55:00,147.82000732421875,148.75999450683594,147.69000244140625,147.24009704589844,close,0.6358998349631259,1.0,0.088
XLK,Sector ETF,2025-12-11,short,1,09:50:00,12:30:00,145.5800018310547,147.16000366210938,147.05999755859375,146.36000061035156,stop,-1.0853151608613638,0.69,0.533
XLK,Sector ETF,2025-12-11,long,2,12:35:00,15:55:00,147.22000122070312,148.0,147.05999755859375,146.36000061035156,close,0.529818484464994,1.0,0.109
XLK,Sector ETF,2025-12-12,short,1,10:00:00,15:55:00,145.88999938964844,143.7100067138672,146.94000244140625,146.6199951171875,close,1.4942714955799297,1.0,0.498
XLK,Sector ETF,2025-12-15,short,1,09:40:00,15:55:00,143.69000244140625,142.30499267578125,144.6300048828125,144.15170288085938,close,0.9638873561782964,1.0,0.32
XLK,Sector ETF,2025-12-16,short,1,10:40:00,13:45:00,141.72999572753906,142.4499969482422,142.44000244140625,141.77000427246094,stop,-0.5080090611780241,0.66,0.028
XLK,Sector ETF,2025-12-16,long,2,15:25:00,15:55:00,142.52520751953125,142.52999877929688,142.44000244140625,141.77000427246094,close,0.0033616928885849325,1.0,0.06
XLK,Sector ETF,2025-12-17,short,1,09:40:00,15:55:00,142.22999572753906,139.3699951171875,142.83999633789062,142.52000427246094,close,2.010828022402731,1.0,0.203
XLK,Sector ETF,2025-12-18,short,1,09:40:00,10:35:00,141.3699951171875,142.3000030517578,142.22000122070312,141.74000549316406,stop,-0.6578538351079308,0.46,0.261
XLK,Sector ETF,2025-12-18,long,2,11:35:00,12:05:00,142.3000030517578,141.3699951171875,142.22000122070312,141.74000549316406,stop,-0.6535544024071784,1.64,0.056
XLK,Sector ETF,2025-12-18,short,3,12:10:00,13:20:00,141.25999450683594,142.2550048828125,142.22000122070312,141.74000549316406,stop,-0.7043822842060293,0.71,0.339
XLK,Sector ETF,2025-12-18,short,4,14:35:00,15:55:00,141.55999755859375,141.52000427246094,142.22000122070312,141.74000549316406,close,0.028251827368292157,1.0,0.127
XLK,Sector ETF,2025-12-19,long,1,09:45:00,15:55:00,144.02000427246094,144.6199951171875,143.4600067138672,142.57000732421875,close,0.4166024350280421,1.0,0.39
XLK,Sector ETF,2025-12-22,short,1,10:35:00,15:55:00,144.78500366210938,145.14999389648438,146.00999450683594,145.0399932861328,close,-0.25209118703121525,1.0,0.176
XLK,Sector ETF,2025-12-23,short,1,10:05:00,11:05:00,144.61500549316406,145.27999877929688,145.25999450683594,144.64999389648438,stop,-0.4598369884681481,0.56,0.024
XLK,Sector ETF,2025-12-23,long,2,11:20:00,15:55:00,145.41000366210938,145.9199981689453,145.25999450683594,144.64999389648438,close,0.3507286252608979,1.0,0.103
XLK,Sector ETF,2025-12-24,long,1,10:05:00,12:45:00,146.14999389648438,146.35000610351562,146.0850067138672,145.67999267578125,close,0.13685406458033472,1.0,0.044
XLK,Sector ETF,2025-12-26,long,1,11:00:00,15:55:00,146.8704071044922,146.52000427246094,146.8000030517578,146.49000549316406,close,-0.23857960152718372,1.0,0.048
XLK,Sector ETF,2025-12-29,long,1,09:40:00,15:55:00,146.22999572753906,145.91000366210938,145.69000244140625,145.0399932861328,close,-0.21882792503523565,1.0,0.371
XLK,Sector ETF,2025-12-30,short,1,09:40:00,11:15:00,145.60000610351562,146.0850067138672,146.0500030517578,145.77499389648438,stop,-0.3331048008382273,0.82,0.12
XLK,Sector ETF,2025-12-30,long,2,11:20:00,11:55:00,146.17999267578125,145.76499938964844,146.0500030517578,145.77499389648438,stop,-0.28389198722512154,1.03,0.089
XLK,Sector ETF,2025-12-30,short,3,12:00:00,15:55:00,145.6999969482422,145.42999267578125,146.0500030517578,145.77499389648438,close,0.18531522176822873,1.0,0.051
XLK,Sector ETF,2025-12-31,short,1,09:40:00,15:55:00,145.13999938964844,143.9600067138672,145.8000030517578,145.47000122070312,close,0.8130030871871483,1.0,0.227
XLK,Sector ETF,2026-01-02,short,1,10:20:00,15:55:00,144.7100067138672,144.27999877929688,146.13999938964844,145.61000061035156,close,0.29715148546745657,1.0,0.618
XLK,Sector ETF,2026-01-05,short,1,09:40:00,15:55:00,145.4499969482422,144.64999389648438,146.38999938964844,145.65499877929688,close,0.5500192977264141,1.0,0.141
XLK,Sector ETF,2026-01-06,long,1,09:50:00,15:55:00,145.80999755859375,146.67999267578125,145.39999389648438,145.08999633789062,close,0.5966635565149725,1.0,0.282
