buffer,sma_period,gradient_threshold,max_hold,n_trades,ko_rate,win_rate,avg_pnl,total_pnl,roi,held_overnight,avg_days
1.0,10,0.1,3,2066,45.2081316553727,35.188770571151984,64.64384390505116,133554.1815078357,12.92876878101023,956,2.0295256534365924
1.0,10,0.1,5,2066,48.59632139399807,31.945788964181993,58.81664057495277,121515.17942785243,11.763328114990555,956,2.420135527589545
1.0,10,0.3,3,2066,43.51403678606002,36.30203291384318,65.79002830350356,135922.19847503837,13.158005660700715,884,1.9491771539206195
1.0,10,0.3,5,2066,46.41819941916747,33.494675701839306,62.71618577151706,129571.63980395425,12.543237154303414,884,2.309293320425944
1.0,10,0.5,3,2066,41.81994191674734,37.80251694094869,72.49061261915081,149765.60567116557,14.498122523830162,816,1.8848015488867376
1.0,10,0.5,5,2066,44.43368828654405,35.14036786060019,68.02693595208048,140543.64967699826,13.605387190416096,816,2.2216844143272025
1.0,10,1.0,3,2066,37.996127783155856,39.73862536302033,76.24213669963392,157516.25442144368,15.248427339926785,681,1.728944820909971
1.0,10,1.0,5,2066,40.271055179090034,37.7541142303969,76.80826990884371,158685.88563167112,15.361653981768745,681,2.0135527589545013
1.0,20,0.1,3,2066,45.595353339787025,34.89835430784124,82.81922862404427,171104.52633727546,16.563845724808854,990,2.0774443368828654
1.0,20,0.1,5,2066,49.03194578896418,31.606969990319456,81.82223339479114,169044.7341936385,16.364446678958227,990,2.5024201355275895
1.0,20,0.3,3,2066,43.417231364956436,36.25363020329139,83.11738829949654,171720.52422675985,16.623477659899308,906,1.9878993223620522
1.0,20,0.3,5,2066,46.46660212971926,33.39787028073572,83.34875795627256,172198.53393765911,16.66975159125451,906,2.3736689254598256
1.0,20,0.5,3,2066,42.0135527589545,36.931268151016454,68.15303130576719,140804.162677715,13.630606261153439,821,1.8852855759922555
1.0,20,0.5,5,2066,44.772507260406584,34.51113262342691,67.75036012553662,139972.24401935865,13.550072025107324,821,2.218296224588577
1.0,20,1.0,3,2066,37.56050338818974,39.54501452081317,73.66882823939272,152199.79914258537,14.733765647878544,643,1.685866408518877
1.0,20,1.0,5,2066,39.787028073572124,37.60890609874153,73.65345728321067,152168.04274711324,14.730691456642134,643,1.9477250726040658
1.0,50,0.1,3,2066,48.01548886737657,33.25266214908035,66.65411733335526,137707.40641071196,13.330823466671053,1035,2.11568247821878
1.0,50,0.1,5,2066,52.37173281703775,29.47725072604066,56.984895329777956,117730.79375132125,11.396979065955591,1035,2.5454985479186836
1.0,50,0.3,3,2066,43.70764762826718,35.721200387221685,68.55690405452211,141638.56377664267,13.71138081090442,874,1.9385285575992255
1.0,50,0.3,5,2066,47.483059051306874,32.4298160696999,55.76942245015928,115219.62678202908,11.153884490031857,874,2.3010648596321395
1.0,50,0.5,3,2066,40.41626331074541,37.415295256534364,74.4023146805257,153715.1821299661,14.88046293610514,735,1.7913843175217812
1.0,50,0.5,5,2066,43.417231364956436,34.5595353339787,60.497776007933574,124988.40523239077,12.099555201586714,735,2.096321393998064
1.0,50,1.0,3,2066,33.59148112294289,40.9486931268151,65.36637491632358,135046.93057712453,13.073274983264719,456,1.4724104549854793
1.0,50,1.0,5,2066,35.14036786060019,39.351403678606,51.81388431908487,107047.48500322935,10.362776863816975,456,1.6418199419167474
2.0,10,0.1,3,2066,21.151984511132625,42.59438528557599,28.313993264998874,58496.71008548768,5.662798652999776,1079,2.2991287512100675
2.0,10,0.1,5,2066,25.943852855759925,39.49661181026137,35.28597441135851,72900.82313386668,7.057194882271702,1079,2.8886737657308807
2.0,10,0.3,3,2066,20.038722168441435,43.27202323330106,29.171337822277046,60267.98394082438,5.834267564455409,1005,2.2042594385285574
2.0,10,0.3,5,2066,24.10454985479187,40.706679574056146,39.110294064213186,80801.86753666445,7.822058812842638,1005,2.750242013552759
2.0,10,0.5,3,2066,18.973862536302033,44.53049370764763,33.33494530285397,68869.99699569629,6.666989060570792,935,2.1258470474346565
2.0,10,0.5,5,2066,22.700871248789934,42.0135527589545,40.42105950972678,83509.90894709554,8.084211901945357,935,2.633107454017425
2.0,10,1.0,3,2066,16.408518877057116,45.692158760890614,36.37346430237358,75147.5772487038,7.2746928604747145,785,1.9327202323330106
2.0,10,1.0,5,2066,19.554695062923525,43.804453049370764,44.633924795290056,92213.68862706926,8.926784959058013,785,2.3547918683446274
2.0,20,0.1,3,2066,20.813165537270088,42.933204259438526,44.55546854525104,92051.59801448864,8.911093709050208,1115,2.367376573088093
2.0,20,0.1,5,2066,25.992255566311712,39.59341723136496,54.76151677834669,113137.29366406426,10.952303355669338,1115,3.0140367860600192
2.0,20,0.3,3,2066,19.215876089060988,43.99806389157793,45.98035875970963,94995.42119756009,9.196071751941925,1026,2.2531461761858664
2.0,20,0.3,5,2066,23.814133591481124,40.99709583736689,55.53975305986863,114745.12982168859,11.107950611973726,1026,2.8339787028073573
2.0,20,0.5,3,2066,18.39303000968054,44.19167473378509,37.34820537509342,77161.392304943,7.469641075018683,934,2.128267182962246
2.0,20,0.5,5,2066,22.555663117134557,41.81994191674734,47.68004088494236,98506.96446829091,9.53600817698847,934,2.641819941916747
2.0,20,1.0,3,2066,15.779283639883834,46.127783155856726,40.00740447734416,82655.29765019304,8.001480895468832,739,1.8833494675701838
2.0,20,1.0,5,2066,18.635043562439495,44.1432720232333,51.230374576826065,105841.95387572265,10.246074915365213,739,2.2797676669893514
2.0,50,0.1,3,2066,23.281703775411422,41.190706679574056,34.09502613846983,70440.32400207866,6.819005227693966,1177,2.432720232333011
2.0,50,0.1,5,2066,29.18683446272991,37.512100677637946,36.67437021122275,75769.2488563862,7.334874042244549,1177,3.101161665053243
2.0,50,0.3,3,2066,20.667957405614715,43.1268151016457,36.37658539839668,75154.02543308753,7.2753170796793345,1002,2.209583736689255
2.0,50,0.3,5,2066,25.169409486931265,39.9322362052275,39.247228151897055,81084.77336181932,7.84944563037941,1002,2.7666989351403677
2.0,50,0.5,3,2066,18.39303000968054,44.04646660212972,40.06398106690751,82772.18488423091,8.0127962133815,849,2.026137463697967
2.0,50,0.5,5,2066,22.265246853823815,41.23910939012585,42.69413733208862,88206.0877280951,8.538827466417723,849,2.4961277831558566
2.0,50,1.0,3,2066,13.939980638915781,46.079380445304935,37.184371437750684,76822.91139039291,7.436874287550137,547,1.6355275895450145
2.0,50,1.0,5,2066,16.06969990319458,44.19167473378509,36.74955958596605,75924.59010460586,7.34991191719321,547,1.9070667957405614
