ticker,date,time,direction,entry_price,exit_price,ko_level,orb_high,orb_low,outcome,exit_time,underlying_move_pct,turbo_pnl_sek,confluence,vwap_confirmed,trend_aligned,category,vol_ratio,vol_spike
XLV,2025-12-04,09:40:00,short,154.3000030517578,153.9199981689453,155.8430030822754,155.02999877929688,154.6649932861328,close,,0.24627665281706612,123.13832640853306,True,False,False,Sector ETF,1.13,False
XLU,2025-12-04,09:40:00,long,43.970001220703125,43.63750076293945,43.53030120849609,43.775001525878906,43.647499084472656,manual_exit,14:15,-0.7561984274112669,-378.0992137056334,False,True,True,Sector ETF,0.74,False
XLRE,2025-12-04,09:40:00,long,41.279998779296875,41.005001068115234,40.8671987915039,41.099998474121094,40.939998626708984,close,,-0.6661766456242242,-333.0883228121121,True,True,False,Sector ETF,0.47,False
GLD,2025-12-04,09:40:00,short,386.17999267578125,387.43499755859375,390.0417926025391,387.3800048828125,386.5899963378906,manual_exit,11:05,-0.3249792600897747,-162.48963004488735,True,True,False,Commodity,0.54,False
SLV,2025-12-04,09:40:00,short,51.69499969482422,51.7599983215332,52.21194969177246,52.36000061035156,52.13999938964844,close,,-0.12573484300744106,-62.86742150372053,False,True,False,Commodity,1.1,False
CEG,2025-12-04,09:40:00,long,366.73199462890625,368.6700134277344,363.0646746826172,361.0,358.5,close,,0.5284564279124851,264.2282139562426,True,True,True,XLU holding,1.13,False
DUK,2025-12-04,09:40:00,long,119.20999908447266,118.28500366210938,118.01789909362793,118.75,118.36000061035156,manual_exit,11:30,-0.7759377816183238,-387.96889080916185,False,True,False,XLU holding,0.61,False
EQIX,2025-12-04,09:40:00,long,735.0349731445312,727.6846234130859,727.6846234130859,731.9099731445312,722.0999755859375,ko,2025-12-04 10:25,-1.0000000000000069,-500.0,False,True,False,XLRE holding,0.39,False
GEV,2025-12-04,09:40:00,long,613.8699951171875,629.2949829101562,607.7312951660156,611.0,602.9000244140625,close,,2.5127450300000618,1256.372515000031,True,True,True,XLI holding,1.07,False
JNJ,2025-12-04,09:40:00,short,204.11000061035156,202.47999572753906,206.15110061645507,204.86000061035156,204.1999969482422,close,,0.7985913859871074,399.2956929935537,True,False,False,XLV holding,0.69,False
MA,2025-12-04,09:40:00,short,551.3624877929688,542.280029296875,556.8761126708985,559.0,556.0,close,,1.6472753763952335,823.6376881976167,False,True,True,XLF holding,0.7,False
MRK,2025-12-04,09:40:00,short,101.19000244140625,100.88999938964844,102.20190246582031,102.5999984741211,101.63999938964844,close,,0.2964749921135028,148.2374960567514,False,True,False,XLV holding,0.58,False
NVDA,2025-12-04,09:40:00,long,181.875,183.39999389648438,180.05625,181.3800048828125,180.3300018310547,close,,0.8384846166237114,419.2423083118557,True,False,True,XLK holding,0.65,False
PLD,2025-12-04,09:40:00,long,130.36000061035156,129.05640060424804,129.05640060424804,129.75,128.89999389648438,ko,2025-12-04 11:30,-1.0000000000000053,-500.0,True,True,True,XLRE holding,0.54,False
SO,2025-12-04,09:40:00,long,88.25,87.5199966430664,87.36749999999999,87.87999725341797,87.58999633789062,manual_exit,12:05,-0.8271992713128541,-413.59963565642704,False,True,False,XLU holding,1.13,False
VZ,2025-12-04,09:40:00,long,41.21500015258789,41.275001525878906,40.80285015106201,41.11000061035156,40.814998626708984,close,,0.1455813977165499,72.79069885827495,True,True,True,XLC holding,0.74,False
WELL,2025-12-04,09:40:00,long,204.14999389648438,203.89999389648438,202.10849395751953,202.44000244140625,201.06500244140625,close,,-0.12245897990414056,-61.22948995207028,False,True,True,XLRE holding,0.86,False
WMB,2025-12-04,09:40:00,long,61.83000183105469,63.66999816894531,61.21170181274414,61.54999923706055,61.18000030517578,close,,2.975895654860663,1487.9478274303315,True,True,True,XLE holding,0.97,False
INTC,2025-12-04,09:45:00,short,42.58000183105469,40.510101318359375,43.005801849365234,43.28010177612305,42.81999969482422,close,,4.861203437491825,2430.6017187459124,False,True,False,Stock,0.43,False
AMZN,2025-12-04,09:45:00,short,229.21099853515625,229.10000610351562,231.50310852050782,232.69000244140625,229.91000366210938,close,,0.04842369360543623,24.211846802718117,True,True,False,Stock,0.79,False
CPER,2025-12-04,09:45:00,short,32.744998931884766,32.90299987792969,33.072448921203616,32.900001525878906,32.79999923706055,manual_exit,10:45,-0.48251931958706434,-241.25965979353217,False,True,False,Commodity,0.52,False
AAPL,2025-12-04,09:45:00,short,281.9601135253906,280.6499938964844,284.7797146606445,284.7300109863281,283.1600036621094,close,,0.4646471490331107,232.32357451655537,False,True,False,XLK holding,0.73,False
AEP,2025-12-04,09:45:00,long,118.3550033569336,117.63500213623047,117.17145332336426,118.25499725341797,117.6500015258789,manual_exit,14:20,-0.6083403322897588,-304.17016614487943,False,True,True,XLU holding,0.57,False
AMT,2025-12-04,09:45:00,long,177.76499938964844,178.8300018310547,175.98734939575195,177.0,175.39999389648438,close,,0.5991069361589224,299.5534680794612,True,True,False,XLRE holding,0.68,False
BA,2025-12-04,09:45:00,short,200.55580139160156,201.86000061035156,202.56135940551758,202.88999938964844,201.1999969482422,close,,-0.6502924421535156,-325.14622107675774,False,True,False,XLI holding,0.6,False
GE,2025-12-04,09:45:00,long,292.1000061035156,291.8900146484375,289.17900604248047,290.25,287.6600036621094,close,,-0.07189026042118854,-35.94513021059427,False,True,True,XLI holding,0.74,False
GOOG,2025-12-04,09:45:00,short,316.69000244140625,318.3900146484375,319.8569024658203,321.5400085449219,317.3800048828125,close,,-0.5368064018205896,-268.4032009102948,False,True,False,XLC holding,0.64,False
GOOGL,2025-12-04,09:45:00,short,315.7850036621094,317.5799865722656,318.94285369873046,320.7200012207031,316.5,close,,-0.5684193008977987,-284.20965044889937,False,True,False,XLC holding,0.78,False
MSFT,2025-12-04,09:45:00,short,476.92999267578125,480.82000732421875,481.69929260253906,481.3219909667969,478.6449890136719,close,,-0.8156364053795094,-407.81820268975474,True,True,False,XLK holding,0.71,False
MU,2025-12-04,09:45:00,short,225.6260986328125,227.88235961914063,227.88235961914063,230.39999389648438,226.22000122070312,ko,2025-12-04 10:20,-1.000000000000002,-500.0,True,False,False,XLK holding,0.66,False
TSLA,2025-12-04,09:45:00,long,453.385009765625,448.8511596679688,448.8511596679688,450.8800048828125,445.8500061035156,ko,2025-12-04 10:15,-0.999999999999995,-500.0,True,True,True,XLY holding,0.68,False
V,2025-12-04,09:45:00,short,329.05999755859375,327.0400085449219,332.3505975341797,332.3800048828125,330.75,close,,0.6138664768306235,306.93323841531173,True,True,True,XLF holding,0.63,False
XLB,2025-12-04,09:50:00,short,44.290000915527344,44.2400016784668,44.73290092468262,44.505001068115234,44.345001220703125,close,,0.11289057581170193,56.44528790585097,True,True,False,Sector ETF,0.76,False
XLY,2025-12-04,09:50:00,short,119.19000244140625,119.0999984741211,120.38190246582032,119.79499816894531,119.28500366210938,close,,0.07551301740211153,37.756508701055765,False,True,False,Sector ETF,0.73,False
XLC,2025-12-04,09:50:00,short,115.20999908447266,115.81500244140625,116.36209907531739,116.03569793701172,115.27999877929688,close,,-0.525130945005912,-262.56547250295597,False,False,False,Sector ETF,0.68,False
LIN,2025-12-04,09:50:00,short,406.989990234375,403.7300109863281,411.05989013671876,408.7300109863281,407.3299865722656,close,,0.8009974019679298,400.4987009839649,False,True,True,XLB holding,0.42,False
LLY,2025-12-04,09:50:00,short,1021.8400268554688,1014.27001953125,1032.0584271240234,1032.625,1027.39501953125,close,,0.7408211779992709,370.4105889996354,True,True,False,XLV holding,1.06,False
UNH,2025-12-04,09:50:00,short,335.6600036621094,333.510009765625,339.0166036987305,341.260009765625,338.3800048828125,close,,0.6405272814835147,320.26364074175734,False,True,True,XLV holding,0.75,False
SPG,2025-12-04,09:55:00,long,183.17999267578125,183.36000061035156,181.34819274902344,182.8000030517578,182.1699981689453,close,,0.0982683381197186,49.1341690598593,False,True,True,XLRE holding,0.46,False
PM,2025-12-04,10:00:00,short,149.97500610351562,148.57000732421875,151.47475616455077,151.39999389648438,150.3249969482422,close,,0.9368219517371568,468.41097586857836,True,True,True,XLP holding,1.13,False
RTX,2025-12-04,10:00:00,long,170.47999572753906,171.35000610351562,168.77519577026368,170.17999267578125,168.64999389648438,close,,0.5103298907673672,255.16494538368363,False,True,True,XLI holding,0.72,False
