ticker,date,time,direction,entry_price,exit_price,ko_level,orb_high,orb_low,outcome,exit_time,underlying_move_pct,turbo_pnl_sek,confluence,vwap_confirmed,trend_aligned,category,vol_ratio,vol_spike
XLV,2025-12-04,09:40:00,short,154.3000030517578,153.9199981689453,156.61450309753417,155.02999877929688,154.6649932861328,close,,0.24627665281706612,82.09221760568872,True,False,False,Sector ETF,1.13,False
XLU,2025-12-04,09:40:00,long,43.970001220703125,43.63750076293945,43.31045120239258,43.775001525878906,43.647499084472656,manual_exit,14:15,-0.7561984274112669,-252.0661424704223,False,True,True,Sector ETF,0.74,False
XLRE,2025-12-04,09:40:00,long,41.279998779296875,41.005001068115234,40.66079879760742,41.099998474121094,40.939998626708984,close,,-0.6661766456242242,-222.05888187474145,True,True,False,Sector ETF,0.47,False
GLD,2025-12-04,09:40:00,short,386.17999267578125,387.43499755859375,391.97269256591795,387.3800048828125,386.5899963378906,manual_exit,11:05,-0.3249792600897747,-108.3264200299249,True,True,False,Commodity,0.54,False
SLV,2025-12-04,09:40:00,short,51.69499969482422,51.7599983215332,52.470424690246574,52.36000061035156,52.13999938964844,close,,-0.12573484300744106,-41.91161433581369,False,True,False,Commodity,1.1,False
CEG,2025-12-04,09:40:00,long,366.73199462890625,368.6700134277344,361.2310147094727,361.0,358.5,close,,0.5284564279124851,176.15214263749507,True,True,True,XLU holding,1.13,False
DUK,2025-12-04,09:40:00,long,119.20999908447266,118.28500366210938,117.42184909820557,118.75,118.36000061035156,manual_exit,11:30,-0.7759377816183238,-258.64592720610796,False,True,False,XLU holding,0.61,False
EQIX,2025-12-04,09:40:00,long,735.0349731445312,724.0094485473633,724.0094485473633,731.9099731445312,722.0999755859375,ko,2025-12-04 12:30,-1.5000000000000024,-500.0,False,True,False,XLRE holding,0.39,False
GEV,2025-12-04,09:40:00,long,613.8699951171875,629.2949829101562,604.6619451904297,611.0,602.9000244140625,close,,2.5127450300000618,837.5816766666873,True,True,True,XLI holding,1.07,False
JNJ,2025-12-04,09:40:00,short,204.11000061035156,202.47999572753906,207.1716506195068,204.86000061035156,204.1999969482422,close,,0.7985913859871074,266.19712866236915,True,False,False,XLV holding,0.69,False
MA,2025-12-04,09:40:00,short,551.3624877929688,542.280029296875,559.6329251098632,559.0,556.0,close,,1.6472753763952335,549.0917921317446,False,True,True,XLF holding,0.7,False
MRK,2025-12-04,09:40:00,short,101.19000244140625,100.88999938964844,102.70785247802733,102.5999984741211,101.63999938964844,close,,0.2964749921135028,98.82499737116761,False,True,False,XLV holding,0.58,False
NVDA,2025-12-04,09:40:00,long,181.875,183.39999389648438,179.146875,181.3800048828125,180.3300018310547,close,,0.8384846166237114,279.4948722079038,True,False,True,XLK holding,0.65,False
PLD,2025-12-04,09:40:00,long,130.36000061035156,128.85000610351562,128.40460060119628,129.75,128.89999389648438,manual_exit,11:30,-1.1583265570466963,-386.1088523488987,True,True,True,XLRE holding,0.54,False
SO,2025-12-04,09:40:00,long,88.25,87.5199966430664,86.92625,87.87999725341797,87.58999633789062,manual_exit,12:05,-0.8271992713128541,-275.73309043761805,False,True,False,XLU holding,1.13,False
VZ,2025-12-04,09:40:00,long,41.21500015258789,41.275001525878906,40.596775150299074,41.11000061035156,40.814998626708984,close,,0.1455813977165499,48.5271325721833,True,True,True,XLC holding,0.74,False
WELL,2025-12-04,09:40:00,long,204.14999389648438,203.89999389648438,201.08774398803712,202.44000244140625,201.06500244140625,close,,-0.12245897990414056,-40.81965996804686,False,True,True,XLRE holding,0.86,False
WMB,2025-12-04,09:40:00,long,61.83000183105469,63.66999816894531,60.902551803588864,61.54999923706055,61.18000030517578,close,,2.975895654860663,991.9652182868878,True,True,True,XLE holding,0.97,False
INTC,2025-12-04,09:45:00,short,42.58000183105469,40.510101318359375,43.218701858520504,43.28010177612305,42.81999969482422,close,,4.861203437491825,1620.4011458306081,False,True,False,Stock,0.43,False
AMZN,2025-12-04,09:45:00,short,229.21099853515625,229.10000610351562,232.64916351318357,232.69000244140625,229.91000366210938,close,,0.04842369360543623,16.14123120181208,True,True,False,Stock,0.79,False
CPER,2025-12-04,09:45:00,short,32.744998931884766,32.90299987792969,33.236173915863034,32.900001525878906,32.79999923706055,manual_exit,10:45,-0.48251931958706434,-160.8397731956881,False,True,False,Commodity,0.52,False
AAPL,2025-12-04,09:45:00,short,281.9601135253906,280.6499938964844,286.18951522827143,284.7300109863281,283.1600036621094,close,,0.4646471490331107,154.8823830110369,False,True,False,XLK holding,0.73,False
AEP,2025-12-04,09:45:00,long,118.3550033569336,117.63500213623047,116.5796783065796,118.25499725341797,117.6500015258789,manual_exit,14:20,-0.6083403322897588,-202.78011076325294,False,True,True,XLU holding,0.57,False
AMT,2025-12-04,09:45:00,long,177.76499938964844,178.8300018310547,175.0985243988037,177.0,175.39999389648438,close,,0.5991069361589224,199.70231205297418,True,True,False,XLRE holding,0.68,False
BA,2025-12-04,09:45:00,short,200.55580139160156,201.86000061035156,203.56413841247556,202.88999938964844,201.1999969482422,close,,-0.6502924421535156,-216.76414738450518,False,True,False,XLI holding,0.6,False
GE,2025-12-04,09:45:00,long,292.1000061035156,291.8900146484375,287.71850601196286,290.25,287.6600036621094,close,,-0.07189026042118854,-23.96342014039618,False,True,True,XLI holding,0.74,False
GOOG,2025-12-04,09:45:00,short,316.69000244140625,318.3900146484375,321.4403524780273,321.5400085449219,317.3800048828125,close,,-0.5368064018205896,-178.93546727352987,False,True,False,XLC holding,0.64,False
GOOGL,2025-12-04,09:45:00,short,315.7850036621094,317.5799865722656,320.521778717041,320.7200012207031,316.5,close,,-0.5684193008977987,-189.47310029926624,False,True,False,XLC holding,0.78,False
MSFT,2025-12-04,09:45:00,short,476.92999267578125,480.82000732421875,484.08394256591794,481.3219909667969,478.6449890136719,close,,-0.8156364053795094,-271.8788017931698,True,True,False,XLK holding,0.71,False
MU,2025-12-04,09:45:00,short,225.6260986328125,229.01049011230467,229.01049011230467,230.39999389648438,226.22000122070312,ko,2025-12-04 12:05,-1.4999999999999905,-500.0,True,False,False,XLK holding,0.66,False
TSLA,2025-12-04,09:45:00,long,453.385009765625,446.5842346191406,446.5842346191406,450.8800048828125,445.8500061035156,ko,2025-12-04 10:25,-1.5000000000000049,-500.0,True,True,True,XLY holding,0.68,False
V,2025-12-04,09:45:00,short,329.05999755859375,327.0400085449219,333.9958975219726,332.3800048828125,330.75,close,,0.6138664768306235,204.62215894354117,True,True,True,XLF holding,0.63,False
XLB,2025-12-04,09:50:00,short,44.290000915527344,44.2400016784668,44.95435092926025,44.505001068115234,44.345001220703125,close,,0.11289057581170193,37.63019193723398,True,True,False,Sector ETF,0.76,False
XLY,2025-12-04,09:50:00,short,119.19000244140625,119.0999984741211,120.97785247802733,119.79499816894531,119.28500366210938,close,,0.07551301740211153,25.171005800703842,False,True,False,Sector ETF,0.73,False
XLC,2025-12-04,09:50:00,short,115.20999908447266,115.81500244140625,116.93814907073974,116.03569793701172,115.27999877929688,close,,-0.525130945005912,-175.04364833530397,False,False,False,Sector ETF,0.68,False
LIN,2025-12-04,09:50:00,short,406.989990234375,403.7300109863281,413.0948400878906,408.7300109863281,407.3299865722656,close,,0.8009974019679298,266.99913398930994,False,True,True,XLB holding,0.42,False
LLY,2025-12-04,09:50:00,short,1021.8400268554688,1014.27001953125,1037.1676272583006,1032.625,1027.39501953125,close,,0.7408211779992709,246.94039266642363,True,True,False,XLV holding,1.06,False
UNH,2025-12-04,09:50:00,short,335.6600036621094,333.510009765625,340.694903717041,341.260009765625,338.3800048828125,close,,0.6405272814835147,213.50909382783823,False,True,True,XLV holding,0.75,False
SPG,2025-12-04,09:55:00,long,183.17999267578125,183.36000061035156,180.43229278564453,182.8000030517578,182.1699981689453,close,,0.0982683381197186,32.756112706572864,False,True,True,XLRE holding,0.46,False
PM,2025-12-04,10:00:00,short,149.97500610351562,148.57000732421875,152.22463119506835,151.39999389648438,150.3249969482422,close,,0.9368219517371568,312.2739839123856,True,True,True,XLP holding,1.13,False
RTX,2025-12-04,10:00:00,long,170.47999572753906,171.35000610351562,167.922795791626,170.17999267578125,168.64999389648438,close,,0.5103298907673672,170.10996358912243,False,True,True,XLI holding,0.72,False
TJX,2025-12-04,10:00:00,long,150.8249969482422,150.3300018310547,148.56262199401854,150.6649932861328,150.08999633789062,close,,-0.3281916971345041,-109.39723237816803,False,True,True,XLY holding,0.93,False
CAT,2025-12-04,10:05:00,long,593.64501953125,599.219970703125,584.7403442382813,592.3699951171875,587.0001220703125,close,,0.9391051871835893,313.03506239452975,True,True,True,XLI holding,0.67,False
HD,2025-12-04,10:05:00,short,354.239990234375,351.1600036621094,359.5535900878906,357.510009765625,355.010009765625,close,,0.869463261397399,289.82108713246635,False,True,True,XLY holding,0.75,False
JPM,2025-12-04,10:10:00,long,316.42999267578125,316.1300048828125,311.68354278564453,315.8599853515625,313.0,close,,-0.09480384284435446,-31.601280948118156,True,True,True,Stock,0.36,False
PPLT,2025-12-04,10:10:00,long,150.46499633789062,150.19000244140625,148.20802139282227,149.74000549316406,148.6436004638672,close,,-0.18276270440125286,-60.92090146708429,False,True,True,Commodity,0.51,False
ABBV,2025-12-04,10:10:00,long,230.6750030517578,228.94000244140625,227.21487800598143,230.5,229.24000549316406,manual_exit,11:00,-0.7521407119965534,-250.7135706655178,True,True,True,XLV holding,0.55,False
AVGO,2025-12-04,10:10:00,long,381.1600036621094,381.20001220703125,375.4426036071777,380.32501220703125,376.57000732421875,close,,0.010496522336415383,3.4988407788051274,False,True,True,XLK holding,0.45,False
PG,2025-12-04,10:10:00,short,146.30999755859375,145.3699951171875,148.50464752197263,147.35000610351562,146.4949951171875,close,,0.6424731440719222,214.15771469064077,True,True,True,XLP holding,0.82,False
XLP,2025-12-04,10:15:00,short,78.44000244140625,78.45999908447266,79.61660247802733,78.91000366210938,78.58000183105469,close,,-0.025492914895487804,-8.497638298495934,False,True,False,Sector ETF,0.29,False
