date,time,direction,entry_price,orb_high,orb_low,quality,trend_aligned,inside_monday,breakout_pct,is_breakout_momentum,vol_ratio,is_vol_spike,exit_price,ko_level,outcome,turbo_pnl_sek,ticker,strategy,days_held
2025-12-03,09:25:00,short,674.7999877929688,678.2000122070312,675.5999755859375,1,True,False,0.11855183868411528,False,0.0,False,667.7999877929688,681.5479876708985,close,518.6722085528273,ABB.ST,turbo_1pct,
2025-12-04,09:35:00,long,683.5999755859375,681.0,674.5999755859375,2,True,True,0.3803358219416216,False,0.5141343897345362,False,682.7999877929688,676.7639758300782,close,-58.51285997216811,ABB.ST,turbo_1pct,
2025-12-08,11:15:00,long,690.5999755859375,690.0,686.0,2,True,False,0.08687744094234183,False,3.791631496442783,True,690.5999755859375,683.6939758300781,close,0.0,ABB.ST,turbo_1pct,
2025-12-09,10:25:00,short,689.2000122070312,692.7999877929688,690.0,1,False,True,0.11607483731855171,False,0.07076579571866937,False,681.5999755859375,696.0920123291015,close,551.3665471911474,ABB.ST,turbo_1pct,
2025-12-10,09:10:00,long,686.2000122070312,682.7999877929688,678.7999877929688,1,True,False,0.49548591570655487,False,1.0447761194029852,False,682.4000244140625,679.338012084961,close,-276.8863105049222,ABB.ST,turbo_1pct,
2025-12-11,09:10:00,short,680.4000244140625,686.2000122070312,683.5999755859375,1,True,False,0.4703043881620506,False,0.3063265431718875,False,686.5999755859375,687.2040246582031,manual_exit,-455.61073996243516,ABB.ST,turbo_1pct,
2025-12-12,09:25:00,long,690.4000244140625,689.2000122070312,685.0,2,True,True,0.17381404469817213,False,0.4095358299720209,False,683.4960241699218,683.4960241699218,ko,-500.0,ABB.ST,turbo_1pct,
2025-12-15,09:20:00,long,682.2000122070312,681.7999877929688,679.0,0,False,False,0.05863740939674774,False,0.001333659338949521,False,687.5999755859375,675.3780120849609,close,395.7756729904229,ABB.ST,turbo_1pct,
2025-12-16,09:50:00,long,683.4000244140625,682.0,679.0,2,True,True,0.20486162775057862,False,0.20996385868006326,False,681.2000122070312,676.5660241699219,close,-160.96079371064621,ABB.ST,turbo_1pct,
2025-12-17,10:00:00,short,682.5999755859375,687.7999877929688,683.4000244140625,1,False,True,0.11720610265745256,False,0.5869896158458281,False,670.2000122070312,689.4259753417969,close,908.2891753887213,ABB.ST,turbo_1pct,
2025-12-18,09:10:00,long,669.0,667.7999877929688,665.0,0,False,False,0.1793740219777653,False,0.862402754659561,False,678.5999755859375,662.31,close,717.48696456932,ABB.ST,turbo_1pct,
2025-12-19,09:15:00,long,680.2000122070312,679.2000122070312,676.7999877929688,0,False,False,0.14701558101349047,False,0.6216770422760035,False,683.0,673.3980120849609,close,205.8209161069908,ABB.ST,turbo_1pct,
2025-12-22,09:25:00,long,685.0,684.2000122070312,681.5999755859375,1,True,False,0.11678653911952555,False,0.17406174611414785,False,681.4000244140625,678.15,manual_exit,-262.77194057937953,ABB.ST,turbo_1pct,
2025-12-23,09:45:00,short,684.4000244140625,687.5999755859375,685.0,1,False,True,0.08766446004310988,False,0.13996302498233523,False,687.4000244140625,691.2440246582031,close,-219.17006816067837,ABB.ST,turbo_1pct,
2025-12-29,09:45:00,short,685.4000244140625,688.4000244140625,686.0,0,False,False,0.08753655742139921,False,0.2841839012051778,False,689.4000244140625,692.2540246582031,manual_exit,-291.800398126593,ABB.ST,turbo_1pct,
2025-12-30,10:00:00,long,687.0,686.2000122070312,683.5999755859375,2,True,True,0.116446549194869,False,0.43682252062773014,False,690.2000122070312,680.13,close,232.89754054084787,ABB.ST,turbo_1pct,
