date,time,direction,entry_price,orb_high,orb_low,daily_close,win,vwap_confirmed,ticker,signal_tf,category
2025-12-04,10:40:00,long,145.41070556640625,145.27499389648438,144.63999938964844,145.52999877929688,True,True,XLK,5min,Sector ETF
2025-12-05,10:05:00,long,146.9199981689453,146.6699981689453,146.09010314941406,146.5800018310547,False,True,XLK,5min,Sector ETF
2025-12-08,11:00:00,short,147.1699981689453,148.3800048828125,147.36000061035156,147.66000366210938,False,True,XLK,5min,Sector ETF
2025-12-09,10:00:00,long,147.64999389648438,147.47000122070312,146.9600067138672,148.0399932861328,True,True,XLK,5min,Sector ETF
2025-12-10,10:40:00,short,147.08999633789062,147.69000244140625,147.24009704589844,148.75999450683594,False,True,XLK,5min,Sector ETF
2025-12-11,09:50:00,short,145.5800018310547,147.05999755859375,146.36000061035156,148.0,False,True,XLK,5min,Sector ETF
2025-12-12,10:00:00,short,145.88999938964844,146.94000244140625,146.6199951171875,143.7100067138672,True,True,XLK,5min,Sector ETF
2025-12-15,09:40:00,short,143.69000244140625,144.6300048828125,144.15170288085938,142.30499267578125,True,True,XLK,5min,Sector ETF
2025-12-16,10:40:00,short,141.72999572753906,142.44000244140625,141.77000427246094,142.52999877929688,False,True,XLK,5min,Sector ETF
2025-12-17,09:40:00,short,142.22999572753906,142.83999633789062,142.52000427246094,139.3699951171875,True,True,XLK,5min,Sector ETF
2025-12-18,09:40:00,short,141.3699951171875,142.22000122070312,141.74000549316406,141.52000427246094,True,True,XLK,5min,Sector ETF
2025-12-19,09:45:00,long,144.02000427246094,143.4600067138672,142.57000732421875,144.6199951171875,True,True,XLK,5min,Sector ETF
2025-12-22,10:35:00,short,144.78500366210938,146.00999450683594,145.0399932861328,145.14999389648438,False,True,XLK,5min,Sector ETF
2025-12-23,10:05:00,short,144.61500549316406,145.25999450683594,144.64999389648438,145.9199981689453,False,True,XLK,5min,Sector ETF
2025-12-24,10:05:00,long,146.14999389648438,146.0850067138672,145.67999267578125,146.35000610351562,True,True,XLK,5min,Sector ETF
2025-12-26,11:00:00,long,146.8704071044922,146.8000030517578,146.49000549316406,146.52000427246094,False,True,XLK,5min,Sector ETF
2025-12-29,09:40:00,long,146.22999572753906,145.69000244140625,145.0399932861328,145.91000366210938,True,True,XLK,5min,Sector ETF
2025-12-30,09:40:00,short,145.60000610351562,146.0500030517578,145.77499389648438,145.42999267578125,True,True,XLK,5min,Sector ETF
2025-12-31,09:40:00,short,145.13999938964844,145.8000030517578,145.47000122070312,143.9600067138672,True,True,XLK,5min,Sector ETF
2026-01-02,10:20:00,short,144.7100067138672,146.13999938964844,145.61000061035156,144.27999877929688,True,True,XLK,5min,Sector ETF
2026-01-05,09:40:00,short,145.4499969482422,146.38999938964844,145.65499877929688,144.64999389648438,True,False,XLK,5min,Sector ETF
2026-01-06,09:50:00,long,145.80999755859375,145.39999389648438,145.08999633789062,146.67999267578125,True,True,XLK,5min,Sector ETF
2026-01-07,10:10:00,long,146.72500610351562,146.5850067138672,146.0399932861328,146.52000427246094,False,True,XLK,5min,Sector ETF
2026-01-08,09:40:00,short,144.38999938964844,145.92999267578125,145.1699981689453,144.22999572753906,True,True,XLK,5min,Sector ETF
2026-01-09,09:40:00,long,144.9499969482422,144.55999755859375,144.1199951171875,146.14999389648438,True,False,XLK,5min,Sector ETF
2026-01-12,09:50:00,long,146.32000732421875,146.05999755859375,145.0500030517578,146.77999877929688,True,True,XLK,5min,Sector ETF
2026-01-13,10:15:00,short,146.39999389648438,147.0800018310547,146.60000610351562,146.5,True,True,XLK,5min,Sector ETF
2026-01-14,09:55:00,short,144.60000610351562,145.85499572753906,145.02000427246094,144.6999969482422,True,True,XLK,5min,Sector ETF
2026-01-15,10:45:00,short,146.5500030517578,147.2100067138672,146.83999633789062,145.4600067138672,True,True,XLK,5min,Sector ETF
2026-01-16,09:55:00,short,145.75999450683594,146.9499969482422,146.47000122070312,145.61000061035156,True,True,XLK,5min,Sector ETF
2026-01-20,11:10:00,long,143.97999572753906,143.84500122070312,142.89999389648438,141.88999938964844,False,True,XLK,5min,Sector ETF
2026-01-21,09:50:00,long,143.23550415039062,142.85000610351562,142.24000549316406,143.8300018310547,True,True,XLK,5min,Sector ETF
2026-01-22,09:45:00,short,144.39999389648438,145.6999969482422,145.13999938964844,144.91000366210938,True,True,XLK,5min,Sector ETF
2026-01-23,10:05:00,long,145.00999450683594,144.6999969482422,144.02000427246094,145.0800018310547,True,True,XLK,5min,Sector ETF
2026-01-26,09:45:00,long,146.02999877929688,145.50999450683594,144.88999938964844,146.10000610351562,True,False,XLK,5min,Sector ETF
2026-01-27,10:00:00,long,148.10000610351562,147.83999633789062,147.2899932861328,148.08999633789062,True,True,XLK,5min,Sector ETF
