date,time,direction,entry_price,orb_high,orb_low,signal_volume,vol_ratio,monthly_close,monthly_close_date,win,ticker,category
2025-12-04,12:00:00,long,145.4199981689453,145.27499389648438,144.63999938964844,287988.0,0.8,144.6199951171875,2026-01-05,False,XLK,Sector ETF
2025-12-08,14:00:00,short,147.1300048828125,148.3800048828125,147.36000061035156,271781.0,0.53,146.52999877929688,2026-01-07,True,XLK,Sector ETF
2025-12-09,10:00:00,long,147.8350067138672,147.47000122070312,146.9600067138672,446325.0,0.79,144.24000549316406,2026-01-08,False,XLK,Sector ETF
2025-12-10,15:00:00,long,148.97019958496094,147.69000244140625,147.24009704589844,725837.0,1.51,146.14999389648438,2026-01-09,False,XLK,Sector ETF
2025-12-11,13:30:00,long,147.5399932861328,147.05999755859375,146.36000061035156,348201.0,0.54,146.7899932861328,2026-01-12,False,XLK,Sector ETF
2025-12-12,10:00:00,short,144.98500061035156,146.94000244140625,146.6199951171875,1325128.0,1.61,146.47999572753906,2026-01-13,True,XLK,Sector ETF
2025-12-15,10:00:00,short,142.25999450683594,144.6300048828125,144.15170288085938,1428668.0,1.41,144.6999969482422,2026-01-14,False,XLK,Sector ETF
2025-12-16,15:30:00,long,142.52999877929688,142.44000244140625,141.77000427246094,1846810.0,2.62,145.4600067138672,2026-01-15,True,XLK,Sector ETF
2025-12-17,10:00:00,short,142.19509887695312,142.83999633789062,142.52000427246094,1159542.0,1.32,145.6199951171875,2026-01-16,False,XLK,Sector ETF
2025-12-19,10:00:00,long,143.7899932861328,143.4600067138672,142.57000732421875,1280098.0,1.14,143.80999755859375,2026-01-21,True,XLK,Sector ETF
2025-12-23,11:30:00,long,145.61000061035156,145.25999450683594,144.64999389648438,445726.0,0.56,145.08999633789062,2026-01-23,False,XLK,Sector ETF
2025-12-24,11:00:00,long,146.26499938964844,146.0850067138672,145.67999267578125,285430.0,0.49,146.0800018310547,2026-01-26,False,XLK,Sector ETF
2025-12-29,14:30:00,long,145.97500610351562,145.69000244140625,145.0399932861328,608046.0,1.26,149.22999572753906,2026-01-28,True,XLK,Sector ETF
2025-12-30,15:00:00,short,145.5749969482422,146.0500030517578,145.77499389648438,400106.0,0.75,146.8699951171875,2026-01-29,False,XLK,Sector ETF
2025-12-31,10:00:00,short,145.0399932861328,145.8000030517578,145.47000122070312,553185.0,0.95,143.8800048828125,2026-01-30,True,XLK,Sector ETF
2026-01-02,10:30:00,short,144.05999755859375,146.13999938964844,145.61000061035156,1760272.0,2.11,145.25999450683594,2026-02-02,True,XLK,Sector ETF
2026-01-05,12:00:00,short,144.9499969482422,146.38999938964844,145.65499877929688,973207.0,0.71,142.0800018310547,2026-02-03,True,XLK,Sector ETF
2026-01-06,10:00:00,long,146.2100067138672,145.39999389648438,145.08999633789062,2106026.0,1.59,138.1199951171875,2026-02-04,False,XLK,Sector ETF
2026-01-07,11:00:00,long,146.88999938964844,146.5850067138672,146.0399932861328,800040.0,0.66,135.6300048828125,2026-02-05,False,XLK,Sector ETF
2026-01-08,10:00:00,short,144.35000610351562,145.92999267578125,145.1699981689453,2153251.0,1.89,141.1300048828125,2026-02-06,True,XLK,Sector ETF
2026-01-09,10:30:00,long,145.24000549316406,144.55999755859375,144.1199951171875,1807766.0,1.31,143.35000610351562,2026-02-09,False,XLK,Sector ETF
2026-01-12,11:00:00,long,146.64999389648438,146.05999755859375,145.0500030517578,875651.0,0.7,142.5500030517578,2026-02-10,False,XLK,Sector ETF
2026-01-13,10:30:00,short,146.5,147.0800018310547,146.60000610351562,1420602.0,1.29,142.97000122070312,2026-02-11,True,XLK,Sector ETF
2026-01-14,10:30:00,short,143.89500427246094,145.85499572753906,145.02000427246094,2076709.0,1.49,139.2100067138672,2026-02-12,True,XLK,Sector ETF
2026-01-15,14:00:00,short,146.1649932861328,147.2100067138672,146.83999633789062,706593.0,0.57,139.55999755859375,2026-02-13,True,XLK,Sector ETF
2026-01-16,10:00:00,short,145.51499938964844,146.9499969482422,146.47000122070312,1247532.0,0.88,139.47999572753906,2026-02-17,True,XLK,Sector ETF
2026-01-20,13:30:00,short,142.32220458984375,143.84500122070312,142.89999389648438,1063915.0,0.97,140.91000366210938,2026-02-18,True,XLK,Sector ETF
2026-01-21,10:00:00,long,143.52999877929688,142.85000610351562,142.24000549316406,1583394.0,1.07,140.2100067138672,2026-02-19,False,XLK,Sector ETF
2026-01-22,10:00:00,short,144.50999450683594,145.6999969482422,145.13999938964844,1450398.0,0.74,140.8800048828125,2026-02-20,True,XLK,Sector ETF
2026-01-23,10:30:00,long,145.69000244140625,144.6999969482422,144.02000427246094,989163.0,0.68,138.52000427246094,2026-02-23,False,XLK,Sector ETF
2026-01-26,10:00:00,long,146.02000427246094,145.50999450683594,144.88999938964844,965134.0,0.89,140.32000732421875,2026-02-24,False,XLK,Sector ETF
2026-01-27,10:00:00,long,148.0050048828125,147.83999633789062,147.2899932861328,1217239.0,1.4,143.00999450683594,2026-02-25,False,XLK,Sector ETF
2026-01-29,10:00:00,short,144.9600067138672,147.92999267578125,147.2550048828125,3000008.0,2.05,138.75999450683594,2026-02-27,True,XLK,Sector ETF
2026-01-30,11:30:00,short,144.97999572753906,146.3699951171875,145.72999572753906,732473.0,0.42,139.5399932861328,2026-03-02,True,XLK,Sector ETF
2026-02-02,10:00:00,long,145.8300018310547,144.66000366210938,143.49000549316406,1558518.0,1.05,137.5,2026-03-03,False,XLK,Sector ETF
2025-12-05,10:00:00,long,53.84000015258789,53.564998626708984,53.45000076293945,2679804.0,1.02,56.400001525878906,2026-01-06,True,XLF,Sector ETF
