date,time,direction,entry_price,orb_high,orb_low,signal_volume,vol_ratio,daily_close,win,ticker,orb_window,category
2025-12-04,10:40:00,long,145.41070556640625,145.27499389648438,144.63999938964844,68563.0,0.82,145.52999877929688,True,XLK,5,Sector ETF
2025-12-05,10:05:00,long,146.9199981689453,146.6699981689453,146.09010314941406,131233.0,1.14,146.5800018310547,False,XLK,5,Sector ETF
2025-12-08,11:00:00,short,147.1699981689453,148.3800048828125,147.36000061035156,85340.0,0.44,147.66000366210938,False,XLK,5,Sector ETF
2025-12-09,10:00:00,long,147.64999389648438,147.47000122070312,146.9600067138672,117177.0,0.89,148.0399932861328,True,XLK,5,Sector ETF
2025-12-10,10:40:00,short,147.08999633789062,147.69000244140625,147.24009704589844,94512.0,0.74,148.75999450683594,False,XLK,5,Sector ETF
2025-12-11,09:50:00,short,145.5800018310547,147.05999755859375,146.36000061035156,315105.0,1.42,148.0,False,XLK,5,Sector ETF
2025-12-12,10:00:00,short,145.88999938964844,146.94000244140625,146.6199951171875,181272.0,0.96,143.7100067138672,True,XLK,5,Sector ETF
2025-12-15,09:40:00,short,143.69000244140625,144.6300048828125,144.15170288085938,316855.0,1.25,142.30499267578125,True,XLK,5,Sector ETF
2025-12-16,10:40:00,short,141.72999572753906,142.44000244140625,141.77000427246094,128037.0,0.53,142.52999877929688,False,XLK,5,Sector ETF
2025-12-17,09:40:00,short,142.22999572753906,142.83999633789062,142.52000427246094,314080.0,1.22,139.3699951171875,True,XLK,5,Sector ETF
2025-12-18,09:40:00,short,141.3699951171875,142.22000122070312,141.74000549316406,441790.0,1.35,141.52000427246094,True,XLK,5,Sector ETF
2025-12-19,09:45:00,long,144.02000427246094,143.4600067138672,142.57000732421875,464545.0,2.1,144.6199951171875,True,XLK,5,Sector ETF
2025-12-22,10:35:00,short,144.78500366210938,146.00999450683594,145.0399932861328,101972.0,0.32,145.14999389648438,False,XLK,5,Sector ETF
2025-12-23,10:05:00,short,144.61500549316406,145.25999450683594,144.64999389648438,130189.0,0.8,145.9199981689453,False,XLK,5,Sector ETF
2025-12-24,10:05:00,long,146.14999389648438,146.0850067138672,145.67999267578125,136350.0,0.89,146.35000610351562,True,XLK,5,Sector ETF
2025-12-26,11:00:00,long,146.8704071044922,146.8000030517578,146.49000549316406,65695.0,0.74,146.52000427246094,False,XLK,5,Sector ETF
2025-12-29,09:40:00,long,146.22999572753906,145.69000244140625,145.0399932861328,270292.0,2.28,145.91000366210938,True,XLK,5,Sector ETF
2025-12-30,09:40:00,short,145.60000610351562,146.0500030517578,145.77499389648438,188884.0,0.96,145.42999267578125,True,XLK,5,Sector ETF
2025-12-31,09:40:00,short,145.13999938964844,145.8000030517578,145.47000122070312,143922.0,1.25,143.9600067138672,True,XLK,5,Sector ETF
2026-01-02,10:20:00,short,144.7100067138672,146.13999938964844,145.61000061035156,298811.0,0.9,144.27999877929688,True,XLK,5,Sector ETF
2026-01-05,09:40:00,short,145.4499969482422,146.38999938964844,145.65499877929688,587677.0,2.29,144.64999389648438,True,XLK,5,Sector ETF
2026-01-06,09:50:00,long,145.80999755859375,145.39999389648438,145.08999633789062,490518.0,1.61,146.67999267578125,True,XLK,5,Sector ETF
2026-01-07,10:10:00,long,146.72500610351562,146.5850067138672,146.0399932861328,220852.0,0.73,146.52000427246094,False,XLK,5,Sector ETF
2026-01-08,09:40:00,short,144.38999938964844,145.92999267578125,145.1699981689453,656706.0,2.49,144.22999572753906,True,XLK,5,Sector ETF
2026-01-09,09:40:00,long,144.9499969482422,144.55999755859375,144.1199951171875,498480.0,1.79,146.14999389648438,True,XLK,5,Sector ETF
2026-01-12,09:50:00,long,146.32000732421875,146.05999755859375,145.0500030517578,316689.0,1.21,146.77999877929688,True,XLK,5,Sector ETF
2026-01-13,10:15:00,short,146.39999389648438,147.0800018310547,146.60000610351562,270100.0,0.86,146.5,True,XLK,5,Sector ETF
2026-01-14,09:55:00,short,144.60000610351562,145.85499572753906,145.02000427246094,324900.0,0.99,144.6999969482422,True,XLK,5,Sector ETF
2026-01-15,10:45:00,short,146.5500030517578,147.2100067138672,146.83999633789062,296103.0,0.63,145.4600067138672,True,XLK,5,Sector ETF
2026-01-16,09:55:00,short,145.75999450683594,146.9499969482422,146.47000122070312,287459.0,0.88,145.61000061035156,True,XLK,5,Sector ETF
2026-01-20,11:10:00,long,143.97999572753906,143.84500122070312,142.89999389648438,189467.0,0.59,141.88999938964844,False,XLK,5,Sector ETF
2026-01-21,09:50:00,long,143.23550415039062,142.85000610351562,142.24000549316406,439662.0,0.98,143.8300018310547,True,XLK,5,Sector ETF
2026-01-22,09:45:00,short,144.39999389648438,145.6999969482422,145.13999938964844,438829.0,0.79,144.91000366210938,True,XLK,5,Sector ETF
2026-01-23,10:05:00,long,145.00999450683594,144.6999969482422,144.02000427246094,213132.0,0.74,145.0800018310547,True,XLK,5,Sector ETF
2026-01-26,09:45:00,long,146.02999877929688,145.50999450683594,144.88999938964844,350167.0,1.91,146.10000610351562,True,XLK,5,Sector ETF
2026-01-27,10:00:00,long,148.10000610351562,147.83999633789062,147.2899932861328,327706.0,1.25,148.08999633789062,True,XLK,5,Sector ETF
2026-01-28,11:45:00,short,148.75,149.6999969482422,148.8699951171875,138473.0,0.81,149.1999969482422,False,XLK,5,Sector ETF
2026-01-29,09:40:00,short,146.6300048828125,147.92999267578125,147.2550048828125,700554.0,1.89,146.83999633789062,True,XLK,5,Sector ETF
2026-01-30,10:30:00,short,145.3000030517578,146.3699951171875,145.72999572753906,252093.0,0.61,143.8800048828125,True,XLK,5,Sector ETF
2026-02-02,09:50:00,long,144.9250030517578,144.66000366210938,143.49000549316406,376621.0,0.95,145.27999877929688,True,XLK,5,Sector ETF
2026-02-03,09:40:00,short,143.72000122070312,145.97000122070312,144.75,966569.0,2.7,142.0399932861328,True,XLK,5,Sector ETF
2026-02-04,10:50:00,short,139.35000610351562,140.99000549316406,139.6699981689453,446506.0,0.57,138.08999633789062,True,XLK,5,Sector ETF
2026-02-05,09:45:00,long,138.27000427246094,137.41000366210938,136.60000610351562,1119719.0,1.63,135.60000610351562,False,XLK,5,Sector ETF
2026-02-06,09:45:00,long,139.5800018310547,138.89999389648438,137.4199981689453,1270411.0,2.03,141.05999755859375,True,XLK,5,Sector ETF
