date,time,direction,entry_price,orb_high,orb_low,signal_volume,vol_ratio,daily_close,win,ticker,signal_tf,category
2025-12-04,10:40:00,long,145.41070556640625,145.27499389648438,144.63999938964844,68563.0,0.82,145.52999877929688,True,XLK,5min,Sector ETF
2025-12-05,10:05:00,long,146.9199981689453,146.6699981689453,146.09010314941406,131233.0,1.14,146.5800018310547,False,XLK,5min,Sector ETF
2025-12-08,11:00:00,short,147.1699981689453,148.3800048828125,147.36000061035156,85340.0,0.44,147.66000366210938,False,XLK,5min,Sector ETF
2025-12-09,10:00:00,long,147.64999389648438,147.47000122070312,146.9600067138672,117177.0,0.89,148.0399932861328,True,XLK,5min,Sector ETF
2025-12-10,10:40:00,short,147.08999633789062,147.69000244140625,147.24009704589844,94512.0,0.74,148.75999450683594,False,XLK,5min,Sector ETF
2025-12-11,09:50:00,short,145.5800018310547,147.05999755859375,146.36000061035156,315105.0,1.42,148.0,False,XLK,5min,Sector ETF
2025-12-12,10:00:00,short,145.88999938964844,146.94000244140625,146.6199951171875,181272.0,0.96,143.7100067138672,True,XLK,5min,Sector ETF
2025-12-15,09:40:00,short,143.69000244140625,144.6300048828125,144.15170288085938,316855.0,1.25,142.30499267578125,True,XLK,5min,Sector ETF
2025-12-16,10:40:00,short,141.72999572753906,142.44000244140625,141.77000427246094,128037.0,0.53,142.52999877929688,False,XLK,5min,Sector ETF
2025-12-17,09:40:00,short,142.22999572753906,142.83999633789062,142.52000427246094,314080.0,1.22,139.3699951171875,True,XLK,5min,Sector ETF
2025-12-18,09:40:00,short,141.3699951171875,142.22000122070312,141.74000549316406,441790.0,1.35,141.52000427246094,True,XLK,5min,Sector ETF
2025-12-19,09:45:00,long,144.02000427246094,143.4600067138672,142.57000732421875,464545.0,2.1,144.6199951171875,True,XLK,5min,Sector ETF
2025-12-22,10:35:00,short,144.78500366210938,146.00999450683594,145.0399932861328,101972.0,0.32,145.14999389648438,False,XLK,5min,Sector ETF
