buffer,hold_days,label,n_trades,ko_rate,win_rate,avg_pnl,total_pnl,roi
0.5,0,Same-day,4102,37.37201365187713,31.27742564602633,16.82640884340653,69021.92907565358,3.3652817686813052
0.5,1,+1 night,4106,50.70628348757915,20.77447637603507,67.8382310710095,278543.776777565,13.5676462142019
0.5,2,+2 nights,4106,55.52849488553336,16.658548465660008,67.05031896835935,275308.6096840835,13.41006379367187
0.5,3,+3 nights,4106,58.25621042377009,14.028251339503168,52.9214970409391,217295.66685009596,10.584299408187821
1.0,0,Same-day,4102,9.824475865431497,35.909312530472945,10.245281929942724,42026.14647662506,2.049056385988545
1.0,1,+1 night,4106,21.042377009254746,26.44909887968826,38.71344176619215,158957.39189198497,7.742688353238431
1.0,2,+2 nights,4106,26.741354115927912,22.3331709693132,36.521114600313226,149955.6965488861,7.304222920062645
1.0,3,+3 nights,4106,30.44325377496347,19.337554797856797,24.865026274346228,102095.79788246562,4.973005254869245
2.0,0,Same-day,4102,1.3164310092637739,36.66504144319844,3.539371382031278,14518.501409092303,0.7078742764062557
2.0,1,+1 night,4106,6.624452021432051,28.275694106186066,13.581296066299771,55764.80164822686,2.716259213259954
2.0,2,+2 nights,4106,11.64150024354603,25.45056015586946,8.107723404977607,33290.31230083806,1.6215446809955216
2.0,3,+3 nights,4106,14.75888943010229,23.429128105211884,3.5582386655198484,14610.127960624497,0.7116477331039697
