ticker,date,time,direction,entry_price,exit_price,ko_level,orb_high,orb_low,outcome,exit_time,underlying_move_pct,turbo_pnl_sek,confluence,vwap_confirmed,trend_aligned,category,vol_ratio,vol_spike
XLV,2025-12-04,09:40:00,short,154.3000030517578,153.9199981689453,155.07150306701658,155.02999877929688,154.6649932861328,close,,0.24627665281706612,246.27665281706612,True,False,False,Sector ETF,1.13,False
XLU,2025-12-04,09:40:00,long,43.970001220703125,43.75015121459961,43.75015121459961,43.775001525878906,43.647499084472656,ko,2025-12-04 13:10,-0.4999999999999948,-500.0,False,True,True,Sector ETF,0.74,False
XLRE,2025-12-04,09:40:00,long,41.279998779296875,41.07359878540039,41.07359878540039,41.099998474121094,40.939998626708984,ko,2025-12-04 11:35,-0.49999999999999584,-500.0,True,True,False,Sector ETF,0.47,False
GLD,2025-12-04,09:40:00,short,386.17999267578125,387.43499755859375,388.1108926391601,387.3800048828125,386.5899963378906,manual_exit,11:05,-0.3249792600897747,-324.9792600897747,True,True,False,Commodity,0.54,False
SLV,2025-12-04,09:40:00,short,51.69499969482422,51.7599983215332,51.95347469329833,52.36000061035156,52.13999938964844,close,,-0.12573484300744106,-125.73484300744106,False,True,False,Commodity,1.1,False
CEG,2025-12-04,09:40:00,long,366.73199462890625,364.89833465576174,364.89833465576174,361.0,358.5,ko,2025-12-04 09:50,-0.49999999999999317,-500.0,True,True,True,XLU holding,1.13,False
DUK,2025-12-04,09:40:00,long,119.20999908447266,118.6139490890503,118.6139490890503,118.75,118.36000061035156,ko,2025-12-04 11:00,-0.49999999999999906,-500.0,False,True,False,XLU holding,0.61,False
EQIX,2025-12-04,09:40:00,long,735.0349731445312,731.3597982788086,731.3597982788086,731.9099731445312,722.0999755859375,ko,2025-12-04 09:50,-0.49999999999999567,-500.0,False,True,False,XLRE holding,0.39,False
GEV,2025-12-04,09:40:00,long,613.8699951171875,629.2949829101562,610.8006451416015,611.0,602.9000244140625,close,,2.5127450300000618,2512.745030000062,True,True,True,XLI holding,1.07,False
JNJ,2025-12-04,09:40:00,short,204.11000061035156,202.47999572753906,205.1305506134033,204.86000061035156,204.1999969482422,close,,0.7985913859871074,798.5913859871074,True,False,False,XLV holding,0.69,False
MA,2025-12-04,09:40:00,short,551.3624877929688,542.280029296875,554.1193002319335,559.0,556.0,close,,1.6472753763952335,1647.2753763952335,False,True,True,XLF holding,0.7,False
MRK,2025-12-04,09:40:00,short,101.19000244140625,101.69595245361327,101.69595245361327,102.5999984741211,101.63999938964844,ko,2025-12-04 09:55,-0.4999999999999921,-500.0,False,True,False,XLV holding,0.58,False
NVDA,2025-12-04,09:40:00,long,181.875,180.965625,180.965625,181.3800048828125,180.3300018310547,ko,2025-12-04 09:55,-0.5000000000000062,-500.0,True,False,True,XLK holding,0.65,False
