ticker,date,time,direction,entry_price,exit_price,ko_level,orb_high,orb_low,outcome,exit_time,underlying_move_pct,turbo_pnl_sek,confluence,vwap_confirmed,trend_aligned,category,vol_ratio,vol_spike
XLV,2025-12-04,09:40:00,short,154.3000030517578,153.9199981689453,155.45725307464602,155.02999877929688,154.6649932861328,close,,0.24627665281706612,164.18443521137743,True,False,False,Sector ETF,1.13,False
XLU,2025-12-04,09:40:00,long,43.970001220703125,43.640226211547855,43.640226211547855,43.775001525878906,43.647499084472656,ko,2025-12-04 14:15,-0.7499999999999922,-500.0,False,True,True,Sector ETF,0.74,False
XLRE,2025-12-04,09:40:00,long,41.279998779296875,40.97039878845215,40.97039878845215,41.099998474121094,40.939998626708984,ko,2025-12-04 15:00,-0.7499999999999938,-500.0,True,True,False,Sector ETF,0.47,False
GLD,2025-12-04,09:40:00,short,386.17999267578125,387.43499755859375,389.07634262084963,387.3800048828125,386.5899963378906,manual_exit,11:05,-0.3249792600897747,-216.6528400598498,True,True,False,Commodity,0.54,False
SLV,2025-12-04,09:40:00,short,51.69499969482422,51.7599983215332,52.0827121925354,52.36000061035156,52.13999938964844,close,,-0.12573484300744106,-83.82322867162738,False,True,False,Commodity,1.1,False
CEG,2025-12-04,09:40:00,long,366.73199462890625,363.98150466918946,363.98150466918946,361.0,358.5,ko,2025-12-04 09:55,-0.7499999999999976,-500.0,True,True,True,XLU holding,1.13,False
DUK,2025-12-04,09:40:00,long,119.20999908447266,118.31592409133911,118.31592409133911,118.75,118.36000061035156,ko,2025-12-04 11:30,-0.7499999999999986,-500.0,False,True,False,XLU holding,0.61,False
EQIX,2025-12-04,09:40:00,long,735.0349731445312,729.5222108459473,729.5222108459473,731.9099731445312,722.0999755859375,ko,2025-12-04 09:55,-0.7500000000000012,-500.0,False,True,False,XLRE holding,0.39,False
GEV,2025-12-04,09:40:00,long,613.8699951171875,629.2949829101562,609.2659701538087,611.0,602.9000244140625,close,,2.5127450300000618,1675.1633533333745,True,True,True,XLI holding,1.07,False
JNJ,2025-12-04,09:40:00,short,204.11000061035156,202.47999572753906,205.6408256149292,204.86000061035156,204.1999969482422,close,,0.7985913859871074,532.3942573247383,True,False,False,XLV holding,0.69,False
MA,2025-12-04,09:40:00,short,551.3624877929688,542.280029296875,555.4977064514161,559.0,556.0,close,,1.6472753763952335,1098.1835842634891,False,True,True,XLF holding,0.7,False
MRK,2025-12-04,09:40:00,short,101.19000244140625,101.9489274597168,101.9489274597168,102.5999984741211,101.63999938964844,ko,2025-12-04 10:45,-0.7500000000000022,-500.0,False,True,False,XLV holding,0.58,False
NVDA,2025-12-04,09:40:00,long,181.875,180.5109375,180.5109375,181.3800048828125,180.3300018310547,ko,2025-12-04 10:05,-0.7499999999999938,-500.0,True,False,True,XLK holding,0.65,False
PLD,2025-12-04,09:40:00,long,130.36000061035156,129.38230060577393,129.38230060577393,129.75,128.89999389648438,ko,2025-12-04 10:25,-0.749999999999993,-500.0,True,True,True,XLRE holding,0.54,False
SO,2025-12-04,09:40:00,long,88.25,87.588125,87.588125,87.87999725341797,87.58999633789062,ko,2025-12-04 12:05,-0.7499999999999941,-500.0,False,True,False,XLU holding,1.13,False
VZ,2025-12-04,09:40:00,long,41.21500015258789,41.275001525878906,40.905887651443486,41.11000061035156,40.814998626708984,close,,0.1455813977165499,97.0542651443666,True,True,True,XLC holding,0.74,False
WELL,2025-12-04,09:40:00,long,204.14999389648438,203.89999389648438,202.61886894226075,202.44000244140625,201.06500244140625,close,,-0.12245897990414056,-81.63931993609371,False,True,True,XLRE holding,0.86,False
WMB,2025-12-04,09:40:00,long,61.83000183105469,63.66999816894531,61.36627681732178,61.54999923706055,61.18000030517578,close,,2.975895654860663,1983.9304365737755,True,True,True,XLE holding,0.97,False
INTC,2025-12-04,09:45:00,short,42.58000183105469,40.510101318359375,42.8993518447876,43.28010177612305,42.81999969482422,close,,4.861203437491825,3240.8022916612163,False,True,False,Stock,0.43,False
AMZN,2025-12-04,09:45:00,short,229.21099853515625,229.10000610351562,230.93008102416994,232.69000244140625,229.91000366210938,close,,0.04842369360543623,32.28246240362416,True,True,False,Stock,0.79,False
CPER,2025-12-04,09:45:00,short,32.744998931884766,32.90299987792969,32.9905864238739,32.900001525878906,32.79999923706055,manual_exit,10:45,-0.48251931958706434,-321.6795463913762,False,True,False,Commodity,0.52,False
AAPL,2025-12-04,09:45:00,short,281.9601135253906,280.6499938964844,284.07481437683106,284.7300109863281,283.1600036621094,close,,0.4646471490331107,309.7647660220738,False,True,False,XLK holding,0.73,False
AEP,2025-12-04,09:45:00,long,118.3550033569336,117.63500213623047,117.4673408317566,118.25499725341797,117.6500015258789,manual_exit,14:20,-0.6083403322897588,-405.56022152650587,False,True,True,XLU holding,0.57,False
AMT,2025-12-04,09:45:00,long,177.76499938964844,178.8300018310547,176.43176189422607,177.0,175.39999389648438,close,,0.5991069361589224,399.40462410594836,True,True,False,XLRE holding,0.68,False
BA,2025-12-04,09:45:00,short,200.55580139160156,202.05996990203857,202.05996990203857,202.88999938964844,201.1999969482422,ko,2025-12-04 15:05,-0.75,-500.0,False,True,False,XLI holding,0.6,False
GE,2025-12-04,09:45:00,long,292.1000061035156,291.8900146484375,289.9092560577393,290.25,287.6600036621094,close,,-0.07189026042118854,-47.92684028079236,False,True,True,XLI holding,0.74,False
GOOG,2025-12-04,09:45:00,short,316.69000244140625,318.3900146484375,319.06517745971684,321.5400085449219,317.3800048828125,close,,-0.5368064018205896,-357.87093454705973,False,True,False,XLC holding,0.64,False
GOOGL,2025-12-04,09:45:00,short,315.7850036621094,317.5799865722656,318.1533911895752,320.7200012207031,316.5,close,,-0.5684193008977987,-378.94620059853247,False,True,False,XLC holding,0.78,False
